timestamp,time_s,heart_rate_bpm
2025-11-19 09:31:56,0.0,96.0
2025-11-19 09:32:05,9.0,100.0
2025-11-19 09:32:06,10.0,103.0
2025-11-19 09:32:10,14.0,106.0
2025-11-19 09:32:12,16.0,108.0
2025-11-19 09:32:15,19.0,112.0
2025-11-19 09:32:17,21.0,115.0
2025-11-19 09:32:18,22.0,114.0
2025-11-19 09:32:21,25.0,118.0
2025-11-19 09:32:23,27.0,117.0
2025-11-19 09:32:24,28.0,116.0
2025-11-19 09:32:25,29.0,116.0
2025-11-19 09:32:27,31.0,115.0
2025-11-19 09:32:28,32.0,115.0
2025-11-19 09:32:30,34.0,118.0
2025-11-19 09:32:31,35.0,119.0
2025-11-19 09:32:36,40.0,122.0
2025-11-19 09:32:38,42.0,121.0
2025-11-19 09:32:40,44.0,123.0
2025-11-19 09:32:42,46.0,125.0
2025-11-19 09:32:43,47.0,123.0
2025-11-19 09:32:45,49.0,125.0
2025-11-19 09:32:46,50.0,126.0
2025-11-19 09:32:50,54.0,126.0
2025-11-19 09:32:53,57.0,127.0
2025-11-19 09:32:56,60.0,127.0
2025-11-19 09:32:57,61.0,127.0
2025-11-19 09:32:58,62.0,128.0
2025-11-19 09:33:03,67.0,128.0
2025-11-19 09:33:04,68.0,127.0
2025-11-19 09:33:05,69.0,128.0
2025-11-19 09:37:05,309.0,87.0
2025-11-19 09:37:10,314.0,84.0
2025-11-19 09:37:11,315.0,90.0
2025-11-19 09:37:12,316.0,93.0
2025-11-19 09:37:13,317.0,96.0
2025-11-19 09:37:14,318.0,93.0
2025-11-19 09:37:15,319.0,97.0
2025-11-19 09:37:17,321.0,96.0
2025-11-19 09:37:18,322.0,97.0
2025-11-19 09:37:19,323.0,96.0
2025-11-19 09:37:20,324.0,95.0
2025-11-19 09:37:21,325.0,94.0
2025-11-19 09:37:23,327.0,97.0
2025-11-19 09:37:26,330.0,98.0
2025-11-19 09:37:27,331.0,98.0
2025-11-19 09:37:31,335.0,102.0
2025-11-19 09:37:32,336.0,102.0
2025-11-19 09:37:37,341.0,104.0
2025-11-19 09:37:38,342.0,105.0
2025-11-19 09:37:39,343.0,107.0
2025-11-19 09:37:40,344.0,109.0
2025-11-19 09:37:43,347.0,111.0
2025-11-19 09:37:45,349.0,110.0
2025-11-19 09:37:46,350.0,111.0
2025-11-19 09:37:47,351.0,112.0
2025-11-19 09:37:50,354.0,112.0
2025-11-19 09:37:51,355.0,116.0
2025-11-19 09:37:53,357.0,118.0
2025-11-19 09:37:54,358.0,119.0
2025-11-19 09:37:55,359.0,119.0
2025-11-19 09:37:57,361.0,120.0
2025-11-19 09:37:59,363.0,120.0
2025-11-19 09:38:00,364.0,120.0
2025-11-19 09:38:01,365.0,120.0
2025-11-19 09:38:03,367.0,121.0
2025-11-19 09:38:04,368.0,121.0
2025-11-19 09:38:05,369.0,121.0
2025-11-19 09:38:08,372.0,120.0
2025-11-19 09:38:10,374.0,121.0
2025-11-19 09:38:12,376.0,124.0
2025-11-19 09:38:13,377.0,123.0
2025-11-19 09:38:17,381.0,125.0
2025-11-19 09:38:20,384.0,128.0
2025-11-19 09:38:21,385.0,126.0
2025-11-19 09:38:26,390.0,126.0
2025-11-19 09:38:27,391.0,128.0
2025-11-19 09:38:28,392.0,130.0
2025-11-19 09:38:30,394.0,132.0
2025-11-19 09:38:33,397.0,133.0
2025-11-19 09:38:36,400.0,134.0
2025-11-19 09:38:37,401.0,134.0
2025-11-19 09:38:39,403.0,131.0
2025-11-19 09:38:40,404.0,134.0
2025-11-19 09:38:41,405.0,134.0
2025-11-19 09:38:42,406.0,135.0
2025-11-19 09:38:47,411.0,136.0
2025-11-19 09:38:53,417.0,135.0
2025-11-19 09:38:56,420.0,132.0
2025-11-19 09:38:58,422.0,131.0
2025-11-19 09:39:02,426.0,130.0
2025-11-19 09:39:04,428.0,130.0
2025-11-19 09:39:05,429.0,133.0
2025-11-19 09:39:08,432.0,135.0
2025-11-19 09:39:10,434.0,136.0
2025-11-19 09:39:13,437.0,136.0
