iter	MultiClass
0	1.589745208
1	1.564870349
2	1.549520623
3	1.523380012
4	1.507415013
5	1.482816475
6	1.466616326
7	1.450754486
8	1.436748164
9	1.420072405
10	1.398046516
11	1.379121449
12	1.367146985
13	1.347741471
14	1.340612959
15	1.32177684
16	1.307623105
17	1.296683632
18	1.28432951
19	1.268633518
20	1.25565402
21	1.242183715
22	1.229649779
23	1.219284729
24	1.206421708
25	1.19182669
26	1.179084244
27	1.166742955
28	1.156742896
29	1.147402412
30	1.138839162
31	1.127990799
32	1.118510502
33	1.10999945
34	1.101693777
35	1.094681582
36	1.087659804
37	1.079478407
38	1.072532153
39	1.063322652
40	1.053103658
41	1.048637546
42	1.039537245
43	1.029304437
44	1.021676874
45	1.013044178
46	1.004308062
47	0.9963149759
48	0.9882564052
49	0.9814603433
50	0.9734132666
51	0.9669610943
52	0.9601652017
53	0.9514062879
54	0.9453240066
55	0.9379047414
56	0.9305879394
57	0.9229987091
58	0.9167088474
59	0.9110522879
60	0.9051133923
61	0.8982918649
62	0.8904186599
63	0.8847737837
64	0.8792944036
65	0.8721603339
66	0.8676255282
67	0.859068628
68	0.8510858357
69	0.8451496019
70	0.8392177807
71	0.8330648602
72	0.8263531702
73	0.8196680505
74	0.8151094504
75	0.810944895
76	0.8061628656
77	0.8010337235
78	0.7944735
79	0.7889191891
80	0.7836465684
81	0.7778502491
82	0.7717394571
83	0.765413823
84	0.7609558072
85	0.754760852
86	0.7508435765
87	0.746247394
88	0.7424836816
89	0.7366826348
90	0.7314162836
91	0.7278231366
92	0.7248182186
93	0.7197587239
94	0.7144889202
95	0.7111899573
96	0.7066133205
97	0.7020110105
98	0.6978206261
99	0.6923772279
100	0.6862623238
101	0.68253064
102	0.6777833803
103	0.6735803364
104	0.6684821942
105	0.6653515626
106	0.660319655
107	0.6553311814
108	0.6515178136
109	0.6474775004
110	0.6444637318
111	0.6393384462
112	0.6359753013
113	0.6308241634
114	0.627231415
115	0.6218999121
116	0.6161475048
117	0.6123486457
118	0.6077425022
119	0.6031713986
120	0.5992970328
121	0.595917599
122	0.5931150161
123	0.5887233865
124	0.5852580919
125	0.5812049089
126	0.5776436877
127	0.5738391044
128	0.5695744712
129	0.5664800952
130	0.5639722862
131	0.5609283511
132	0.5579168057
133	0.553852381
134	0.5502632049
135	0.5463205538
136	0.5433077005
137	0.5395077328
138	0.5371244376
139	0.5338616768
140	0.5312149858
141	0.5260434895
142	0.5230012405
143	0.5187654745
144	0.5148289757
145	0.5122461167
146	0.509653534
147	0.5065600515
148	0.5046689721
149	0.5012497016
150	0.4985987367
151	0.4960261391
152	0.492774916
153	0.4895263326
154	0.4859122101
155	0.4832277372
156	0.480469633
157	0.4777427808
158	0.4737574249
159	0.4709503216
160	0.4687400814
161	0.466766943
162	0.4644343516
163	0.4614748012
164	0.4594954294
165	0.456549599
166	0.4547153669
167	0.4518225495
168	0.449087392
169	0.4458817865
170	0.4427540045
171	0.441229542
172	0.4390937323
173	0.4365134259
174	0.4343237886
175	0.4318829005
176	0.4288035206
177	0.4260220577
178	0.4235486622
179	0.422002339
180	0.420239491
181	0.4180672297
182	0.4152368173
183	0.4129170227
184	0.4098352323
185	0.4078133704
186	0.4057961147
187	0.4032014595
188	0.4007493232
189	0.3997701605
190	0.3974087574
191	0.3944966869
192	0.3933183527
193	0.3907404572
194	0.3891090413
195	0.3879071085
196	0.3861571325
197	0.3846502649
198	0.382703811
199	0.3810625106
200	0.3799340815
201	0.3776341281
202	0.3757703029
203	0.3739008321
204	0.3717938483
205	0.368703657
206	0.3676224949
207	0.364950836
208	0.3616524462
209	0.3597523595
210	0.3592922576
211	0.3578606512
212	0.3559315324
213	0.3544158431
214	0.3538243424
215	0.3524689102
216	0.3507462271
217	0.3493459259
218	0.3481667251
219	0.3466732427
220	0.3449298048
221	0.343720051
222	0.3425148682
223	0.3404719489
224	0.3388602739
225	0.3366911089
226	0.3357242825
227	0.3339516765
228	0.3330511505
229	0.3310473583
230	0.329389394
231	0.327739049
232	0.3267149013
233	0.3259225013
234	0.3241563247
235	0.323264188
236	0.3219715343
237	0.3205978104
238	0.3189002751
239	0.3173718611
240	0.3164538871
241	0.3152215066
242	0.3133827462
243	0.3120400114
244	0.310479671
245	0.3088175358
246	0.3074153042
247	0.3060725655
248	0.3043367045
249	0.303172566
250	0.3027554968
251	0.3020293125
252	0.3004361106
253	0.2992477291
254	0.2986546315
255	0.2973104209
256	0.2963587047
257	0.2954295202
258	0.2951487095
259	0.2935258562
260	0.291844686
261	0.2905628879
262	0.289665379
263	0.2881134253
264	0.2866886602
265	0.2853776291
266	0.284879902
267	0.2835545391
268	0.2822764204
269	0.280846044
270	0.2803587494
271	0.2791401616
272	0.2777873246
273	0.2772363117
274	0.2760050131
275	0.2749983743
276	0.2734144036
277	0.2723604691
278	0.2712319225
279	0.2700330745
280	0.2693347695
281	0.268010052
282	0.2666476472
283	0.2652714426
284	0.2641443301
285	0.2638738557
286	0.2626615508
287	0.2614805625
288	0.2603101644
289	0.2590791934
290	0.2580328243
291	0.2569693094
292	0.2561473133
293	0.2552522245
294	0.2539785634
295	0.2532354622
296	0.2520187709
297	0.2508090993
298	0.2497586225
299	0.2486170783
