model,macro_f1,weighted_f1,off_by_one_acc,f1_hypo,f1_normal,f1_target,f1_elevated,f1_hyper
CatBoost,0.2733,0.3512,0.7857,0.0,0.5,0.4,0.4667,0.0
LogReg,0.2158,0.3082,0.6071,0.0,0.2,0.5455,0.3333,0.0
RandomForest,0.1627,0.2481,0.8214,0.0,0.2,0.1333,0.48,0.0
XGBoost,0.1103,0.2167,0.75,0.0,0.0,0.0,0.5517,0.0
HistGBC,0.0667,0.0357,0.2857,0.0,0.3333,0.0,0.0,0.0
SVC,0.0571,0.1122,0.6786,0.0,0.0,0.0,0.2857,0.0
LightGBM,0.0571,0.1122,0.6786,0.0,0.0,0.0,0.2857,0.0
