model,MAE,RMSE,R2,median_subject_MAE,Zone_A_pct,Zone_AB_pct
RandomForest,36.41,43.36,-0.2405,34.77,39.3,96.4
CatBoost,36.97,44.53,-0.3078,43.51,46.4,100.0
XGBoost,41.81,47.54,-0.4911,41.55,28.6,100.0
SVR,45.01,51.41,-0.7438,51.32,28.6,96.4
HistGBR,46.21,53.86,-0.9139,55.2,28.6,89.3
LightGBM,46.21,53.86,-0.9139,55.2,28.6,89.3
Ridge,362.85,551.67,-199.7686,123.38,28.6,57.1
